week,location,average_price
27/08/2016,166.83(180.25),142.38(153.40)
20/08/2016,167.57(184.63),141.50(152.88)
13/08/2016,174.03(180.80),143.72(152.82)
06/08/2016,175.75(179.62),144.60(152.66)
30/07/2016,177.98(185.04),146.36(153.82)
23/07/2016,179.87(188.24),150.21(158.17)
16/07/2016,187.07(187.30),154.34(151.78)
09/07/2016,180.75(175.88),156.04(155.38)
02/07/2016,183.26(176.00),155.28(154.13)
25/06/2016,180.91(182.95),153.32(153.65)
18/06/2016,181.65(176.61),153.29(152.31)
11/06/2016,171.84(168.20),150.41(151.38)
04/06/2016,159.29(164.97),146.72(149.28)
28/05/2016,159.45(168.90),133.93(144.55)
21/05/2016,161.59(159.95),129.56(145.98)
14/05/2016,164.41(171.11),136.34(143.62)
07/05/2016,165.89(164.59),133.57(149.15)
30/04/2016,170.19(163.28),140.08(148.46)
23/04/2016,175.47(175.14),146.74(121.14)
16/04/2016,177.05(115.72),154.51(157.02)
09/04/2016,144.87(109.22),170.60(138.56)
02/04/2016,NS(NS),119.23(91.65)
26/03/2016,NS(85.53),NS(NS)
19/03/2016,118.28(NS),NS(NS)
12/03/2016,NS(94.69),105.38(104.98)
05/03/2016,NS(86.73),NS(100.98)
27/02/2016,109.77(96.04),108.51(104.10)
20/02/2016,119.41(111.80),108.34(102.70)
13/02/2016,123.87(122.72),113.39(101.12)
06/02/2016,123.33(125.09),113.10(100.35)
30/01/2016,123.07(132.84),115.74(105.44)
23/01/2016,134.99(136.57),115.43(108.62)
16/01/2016,142.78(144.22),128.72(122.68)
09/01/2016,149.74(146.27),129.21(113.60)
02/01/2016,150.97(151.02),125.97(119.21)
30/12/2017,154.45(NS),137.07(128.12)
23/12/2017,154.59(157.37),140.05(131.52)
16/12/2017,161.44(161.22),140.74(130.62)
09/12/2017,166.25(159.70),140.20(134.02)
02/12/2017,165.46(162.27),142.71(133.81)
25/11/2017,168.06(164.35),143.87(138.21)
18/11/2017,169.25(164.10),142.35(137.28)
11/11/2017,173.52(163.55),144.60(139.22)
04/11/2017,167.41(160.73),148.13(137.41)
28/10/2017,170.93(159.27),152.32(138.31)
21/10/2017,170.10(161.15),149.13(140.71)
14/10/2017,168.59(NS),153.90(NS)
07/10/2017,176.15(155.68),151.47(139.25)
30/09/2017,NS(162.03),NS(138.97)
23/09/2017,170.80(160.50),154.15(139.63)
16/09/2017,165.43(162.58),149.92(138.37)
09/09/2017,171.23(163.36),148.41(140.32)
02/09/2017,167.65(165.61),150.34(141.60)
12/08/2017,179.36(174.03),156.91(143.72)
05/08/2017,172.64(175.75),157.16(144.60)
29/07/2017,177.56(177.98),154.10(146.36)
22/07/2017,181.57(179.87),151.93(150.21)
22/07/2017,177.56(187.07),151.95(154.34)
15/07/2017,189.36(180.75),153.21(156.04)
08/07/2017,184.15(183.26),151.22(155.28)
01/07/2017,179.98(180.91),157.82(153.32)
24/06/2017,176.75(181.65),157.68(153.29)
10/06/2017,171.31(171.84),150.64(150.41)
03/06/2017,159.56(159.29),140.27(146.72)
27/05/2017,160.02(159.45),131.51(133.93)
20/05/2017,171.53(161.59),132.07(129.56)
13/05/2017,172.36(164.41),139.69(136.34)
06/05/2017,175.16(165.89),142.32(133.57)
29/04/2017,163.15(170.19),149.23(140.08)
22/04/2017,159.46(175.47),158.91(146.74)
15/04/2017,125.10(177.05),161.71(154.51)
08/04/2017,115.00(144.87),130.71(170.60)
01/04/2017,NS(NS),106.47(119.23)
25/03/2017,118.10(NS),NS(NS)
18/03/2017,107.55(118.28),109.65(NS)
11/03/2017,108.97(NS),104.71(105.38)
04/03/2017,110.57(NS),106.29(NS)
25/02/2017,112.03(109.77),110.53(108.51)
18/02/2017,120.49(119.41),106.56(108.34)
11/02/2017,127.53(123.87),105.66(113.39)
04/02/2017,136.06(123.33),106.32(113.10)
28/01/2017,138.89(123.07),111.24(115.74)
21/01/2017,144.37(134.99),118.39(115.43)
14/01/2017,145.34(142.78),119.83(128.72)
07/01/2017,153.46(149.74),124.00(129.21)
29/12/2018,162.56(154.45),133.79(137.07)
22/12/2018,167.97(154.59),137.09(140.05)
15/12/2018,171.66(161.44),140.90(140.74)
08/12/2018,173.83(166.25),143.75(140.21)
01/12/2018,170.50(165.46),147.73(142.71)
24/11/2018,166.78(168.06),147.42(143.87)
17/11/2018,169.67(169.25),147.66(142.35)
10/11/2018,177.65(173.52),152.11(144.61)
27/10/2018,169.82(170.93),149.99(152.32)
13/10/2018,171.15(168.59),148.69(153.90)
20/10/2018,NS(170.10),NS(149.11)
06/10/2018,170.67(176.15),148.30(151.47)
29/09/2018,169.82(NS),147.24(NS)
22/09/2018,168.57(170.80),148.95(154.15)
